,Player,Team,DYAR,DVOA,Rushes,Yards,EfYds,TD,Suc_rate,Year,Yds
400,K.Jones,CLE1,-7,-12.80%,43,,137,1,,1989,160
401,T.Flagler,SF,-8,-15.40%,33,,93,1,,1989,129
402,M.Higgs,PHI,-20,-19.70%,49,,121,0,,1989,185
403,C.Heyward,NO,-22,-19.80%,49,,131,1,,1989,183
404,R.Dupard,2TM,-25,-23.40%,37,,106,1,,1989,111
405,M.Rozier,HOIL,-26,-14.90%,88,,307,2,,1989,301
406,T.Stradford,MIA,-28,-18.20%,66,,204,1,,1989,239
407,H.Heard,KC,-31,-20.50%,63,,174,0,,1989,216
408,T.Paige,DET,-33,-33.90%,30,,59,0,,1989,105
409,G.Green,LARM,-43,-47.30%,26,,26,0,,1989,73
410,T.Baker,PHX,-46,-73.50%,20,,-14,0,,1989,31
411,D.Johnston,DAL,-53,-26.30%,67,,172,0,,1989,212
412,To.Jordan,PHX,-91,-35.60%,83,,142,2,,1989,211
413,B.Sanders,DET,330,21.70%,255,,"1,472",13,55%,1990,"1,304"
414,M.Butts,SD,254,13.50%,265,,"1,397",8,50%,1990,"1,225"
415,C.Heyward,NO,202,25.70%,129,,836,4,60%,1990,598
416,M.Allen,LARD,196,15.20%,179,,"1,027",12,53%,1990,682
417,B.Muster,CHI,191,20.90%,141,,867,6,57%,1990,664
418,K.Mack,CLE1,189,17.60%,158,,927,5,51%,1990,702
419,B.Humphrey,DEN,182,6.00%,288,,"1,370",7,51%,1990,"1,202"
420,T.Thomas,BUF,182,7.30%,273,,"1,280",11,52%,1990,"1,288"
421,E.Byner,WAS,176,5.30%,297,,"1,375",6,53%,1990,"1,219"
422,R.Bernstine,SD,174,23.00%,124,,755,4,59%,1990,589
423,D.Fenner,SEA,170,8.80%,215,,"1,113",14,51%,1990,859
424,J.Brooks,CIN,156,10.30%,196,,962,5,46%,1990,"1,000"
425,B.Word,KC,154,9.70%,204,,973,4,50%,1990,"1,015"
426,B.Jackson,LARD,140,18.70%,125,,668,5,53%,1990,698
427,N.Anderson,CHI,138,4.20%,260,,"1,152",10,47%,1990,"1,078"
428,E.Smith,DAL,131,4.30%,241,,"1,091",12,44%,1990,937
429,F.McNeil,NYJ,103,15.10%,100,,542,6,51%,1990,460
430,G.Riggs,WAS,96,8.00%,123,,654,6,57%,1990,475
431,B.Baxter,NYJ,95,8.50%,124,,631,6,56%,1990,539
432,O.Anderson,NYG,91,0.00%,225,,"1,052",11,48%,1990,784
433,L.White,HOIL,85,2.70%,168,,789,8,55%,1990,702
434,R.Mayes,NO,73,4.60%,138,,595,7,49%,1990,511
435,H.Walker,MIN,70,0.80%,184,,755,5,46%,1990,770
436,H.Sherman,PHI,66,1.10%,164,,690,1,49%,1990,685
437,J.Johnson,PHX,64,-2.30%,234,,982,5,46%,1990,931
438,E.Dickerson,IND,58,-0.80%,167,,733,4,48%,1990,681
439,M.Hoge,PIT,54,-2.20%,204,,817,7,47%,1990,775
440,J.L.Williams,SEA,53,-2.10%,187,,792,3,50%,1990,714
441,R.Hampton,NYG,50,4.10%,109,,424,2,39%,1990,455
442,M.Rozier,2TM,46,-2.20%,165,,700,3,50%,1990,723
443,T.Rathman,SF,41,-1.00%,101,,528,7,52%,1990,318
444,B.Thomas,NYJ,40,-0.50%,123,,488,1,51%,1990,620
445,A.Bentley,IND,38,-1.90%,136,,548,4,46%,1990,552
446,A.Thompson,PHX,23,-3.60%,106,,432,4,42%,1990,385
447,A.Toney,PHI,2,-8.20%,132,,459,1,48%,1990,452
448,C.Gary,LARM,-21,-10.70%,204,,804,14,49%,1990,807
449,D.Carter,SF,-32,-16.00%,114,,323,1,46%,1990,460
450,G.W.Anderson,TB,-41,-14.80%,166,,497,3,48%,1990,646
451,S.Smith,MIA,-48,-13.40%,226,,784,8,48%,1990,830
452,S.Broussard,ATL,-51,-18.30%,126,,371,4,45%,1990,451
453,J.Stephens,NE,-53,-14.90%,212,,642,2,44%,1990,808
454,R.Craig,SF,-66,-20.30%,141,,380,1,43%,1990,439
455,R.Cobb,TB,-72,-18.30%,151,,516,2,46%,1990,480
456,C.Okoye,KC,-89,-16.80%,245,,791,7,45%,1990,805
457,T.Worley,PIT,-96,-32.00%,108,,198,0,36%,1990,415
458,R.Harmon,SD,93,29.00%,66,,362,0,,1990,363
459,B.McGee,LARM,91,32.40%,44,,339,1,,1990,234
460,K.Davis,BUF,68,14.70%,64,,360,4,,1990,302
461,C.Taylor,CIN,66,25.20%,51,,275,2,,1990,216
462,A.Anderson,MIN,60,12.40%,59,,343,2,,1990,207
463,H.Sydney,SF,59,27.70%,35,,235,2,,1990,166
464,I.Woods,CIN,50,6.90%,63,,361,6,,1990,266
465,D.Smith,BUF,43,28.40%,20,,170,2,,1990,82
466,J.Hector,NYJ,43,2.00%,91,,417,2,,1990,377
467,D.Meggett,NYG,38,36.60%,22,,136,0,,1990,164
468,S.Smith,LARD,38,1.80%,81,,373,2,,1990,327
469,B.Foster,PIT,35,13.00%,36,,197,1,,1990,203
470,R.Fenney,MIN,34,0.60%,87,,372,2,,1990,376
471,W.Williams,PIT,33,2.70%,68,,304,3,,1990,389
472,G.Green,LARM,31,2.60%,68,,288,0,,1990,261
473,M.Carthon,NYG,30,7.30%,36,,215,0,,1990,143
474,A.Pinkett,HOIL,30,2.00%,66,,291,0,,1990,268
475,G.Fenerty,NO,23,-0.40%,73,,278,2,,1990,355
476,H.Green,CIN,22,-2.00%,83,,319,1,,1990,353
477,M.Green,CHI,21,13.90%,27,,114,0,,1990,126
478,T.Johnson,ATL,15,1.80%,30,,148,3,,1990,106
479,K.Jones,ATL,11,-3.60%,50,,213,0,,1990,193
480,B.Ezor,DEN,11,3.00%,23,,98,0,,1990,81
481,J.Mueller,BUF,6,-6.70%,59,,277,2,,1990,207
482,T.Stradford,MIA,5,-4.80%,37,,117,1,,1990,138
483,M.Allen,NE,5,-7.00%,63,,259,1,,1990,237
484,T.Agee,DAL,3,-7.40%,53,,196,0,,1990,213
485,G.Bell,LARD,1,-8.00%,47,,202,1,,1990,164
486,M.Bratton,DEN,-2,-9.70%,27,,117,3,,1990,82
487,T.Paige,MIA,-2,-9.90%,32,,141,2,,1990,95
488,G.Adams,NE,-3,-11.40%,28,,92,0,,1990,111
489,D.Gainer,CLE1,-3,-10.90%,30,,114,1,,1990,81
490,M.Logan,MIA,-4,-9.80%,79,,294,2,,1990,317
491,B.Perryman,NE,-5,-12.60%,32,,95,1,,1990,97
492,A.Rice,MIN,-6,-15.00%,22,,70,0,,1990,74
493,J.Bailey,CHI,-7,-14.50%,26,,85,0,,1990,86
494,T.Sanders,PHI,-8,-12.50%,56,,169,1,,1990,208
495,S.Winder,DEN,-9,-14.20%,42,,127,2,,1990,120
496,K.Woodside,GB,-11,-15.30%,46,,125,1,,1990,182
497,K.Byars,PHI,-22,-21.50%,37,,108,0,,1990,141
498,E.Ball,CIN,-23,-33.90%,22,,40,1,,1990,72
499,J.Harvey,TB,-29,-34.70%,27,,49,0,,1990,113
500,C.Warner,LARM,-37,-25.90%,49,,123,1,,1990,139
501,B.Fullwood,GB,-41,-27.70%,44,,117,1,,1990,124
502,D.Hilliard,NO,-41,-19.90%,90,,246,1,,1990,284
503,L.Tillman,NYG,-44,-21.60%,84,,223,1,,1990,231
504,M.Haddix,GB,-49,-20.60%,98,,273,0,,1990,311
505,D.Thompson,GB,-53,-24.50%,76,,201,1,,1990,264
506,E.Metcalf,CLE1,-74,-34.00%,80,,129,1,,1990,248
507,L.Hoard,CLE1,-104,-48.50%,58,,55,3,,1990,149
508,T.Thomas,BUF,306,17.00%,289,,"1,520",7,54%,1991,"1,415"
509,E.Smith,DAL,266,8.90%,365,,"1,735",12,48%,1991,"1,563"
510,R.Bernstine,SD,260,25.90%,159,,"1,071",8,60%,1991,766
511,C.Okoye,KC,258,15.80%,225,,"1,329",9,60%,1991,"1,039"
512,B.Sanders,DET,254,8.70%,341,,"1,677",16,55%,1991,"1,548"
513,R.Hampton,NYG,228,11.30%,256,,"1,355",10,53%,1991,"1,055"
514,H.Walker,MIN,183,12.00%,198,,"1,061",10,48%,1991,825
515,B.Word,KC,173,16.70%,160,,873,4,56%,1991,684
516,A.Pinkett,HOIL,165,12.70%,171,,933,9,54%,1991,720
517,K.Davis,BUF,155,17.70%,129,,761,4,57%,1991,624
518,E.Byner,WAS,136,3.90%,274,,"1,159",5,47%,1991,"1,048"
519,R.Ervins,WAS,130,13.80%,145,,708,3,47%,1991,680
520,T.Allen,MIN,124,16.70%,120,,623,2,59%,1991,563
521,M.Butts,SD,107,4.80%,193,,864,6,40%,1991,834
522,K.Mack,CLE1,103,3.20%,197,,919,8,45%,1991,726
523,F.McAfee,NO,102,14.80%,109,,541,2,48%,1991,492
524,L.White,HOIL,99,9.60%,110,,627,4,62%,1991,465
525,K.Henderson,SF,93,8.70%,137,,614,2,53%,1991,561
526,B.Thomas,NYJ,80,2.30%,188,,764,3,47%,1991,724
527,H.Green,CIN,56,0.50%,158,,626,2,43%,1991,731
528,G.Green,DEN,53,-3.30%,261,,959,4,42%,1991,"1,036"
529,M.Higgs,MIA,52,-3.60%,231,,998,4,52%,1991,902
530,B.Baxter,NYJ,52,-2.70%,186,,842,11,59%,1991,670
531,J.L.Williams,SEA,28,-5.00%,189,,726,4,44%,1991,725
532,R.Craig,LARD,27,-4.30%,162,,577,1,45%,1991,590
533,M.Hoge,PIT,25,-4.80%,165,,616,2,45%,1991,610
534,R.Cobb,TB,25,-5.80%,196,,803,7,45%,1991,755
535,J.Brooks,CIN,3,-8.10%,152,,516,2,40%,1991,570
536,J.Johnson,PHX,-2,-8.80%,196,,740,4,45%,1991,666
537,D.Thompson,GB,-7,-9.90%,141,,487,1,44%,1991,471
538,R.Delpino,LARM,-21,-10.90%,214,,769,9,37%,1991,688
539,E.Pegram,ATL,-29,-16.10%,101,,284,1,38%,1991,349
540,N.Anderson,CHI,-32,-12.30%,210,,687,6,43%,1991,747
541,G.Fenerty,NO,-35,-14.80%,139,,431,3,38%,1991,477
542,K.Clark,IND,-59,-21.20%,114,,307,0,37%,1991,366
543,A.Thompson,PHX,-87,-25.40%,126,,306,1,37%,1991,381
544,J.Joseph,PHI,-92,-25.30%,135,,325,3,39%,1991,440
545,H.Sherman,PHI,-111,-35.10%,106,,181,0,36%,1991,279
546,E.Dickerson,IND,-124,-27.20%,167,,371,2,35%,1991,539
547,L.Russell,NE,-151,-21.80%,266,,734,5,44%,1991,959
548,R.Harmon,SD,173,43.00%,89,,569,1,,1991,544
549,B.Muster,CHI,134,24.20%,90,,569,6,,1991,412
550,S.Broussard,ATL,116,18.90%,99,,550,4,,1991,449
551,D.Nelson,MIN,114,97.10%,28,,276,2,,1991,210
552,H.Williams,KC,111,19.10%,97,,524,1,,1991,447
553,J.Hector,NYJ,108,32.20%,62,,402,0,,1991,345
554,F.McNeil,NYJ,85,30.10%,51,,324,2,,1991,300
555,W.Williams,PIT,70,17.40%,57,,345,4,,1991,262
556,G.Riggs,WAS,64,7.40%,78,,446,11,,1991,248
557,N.Bell,LARD,62,9.60%,78,,395,3,,1991,307
558,S.Sewell,DEN,58,22.70%,50,,253,2,,1991,211
559,C.Heyward,NO,51,5.30%,76,,396,4,,1991,260
560,A.Anderson,MIN,44,24.80%,26,,183,1,,1991,118
561,Gr.Lewis,DEN,41,0.90%,99,,440,4,,1991,376
562,M.Allen,LARD,40,6.10%,63,,301,2,,1991,287
563,T.Manoa,IND,40,26.40%,27,,163,1,,1991,144
564,J.R.Jones,SEA,35,9.00%,45,,227,3,,1991,154
565,D.Carter,SF,35,2.30%,85,,328,2,,1991,384
566,L.Tillman,NYG,34,5.30%,65,,263,1,,1991,287
567,C.Gary,LARM,32,3.10%,68,,285,1,,1991,245
568,S.Smith,LARD,31,1.20%,62,,318,1,,1991,265
569,D.Meggett,NYG,29,16.80%,29,,145,1,,1991,153
570,R.Fenney,MIN,26,15.90%,23,,131,0,,1991,99
571,J.Vaughn,NE,21,7.20%,30,,149,2,,1991,139
572,T.Worley,PIT,20,15.50%,22,,107,0,,1991,117
573,B.Jordan,NO,20,0.50%,47,,222,2,,1991,150
574,P.Chaffey,ATL,19,6.00%,29,,144,1,,1991,127
575,K.Byars,PHI,17,-4.30%,94,,365,1,,1991,383
576,K.Woodside,GB,17,-3.40%,85,,304,1,,1991,332
577,M.Rozier,ATL,16,-4.20%,96,,349,0,,1991,361
578,C.Taylor,CIN,14,0.80%,33,,157,2,,1991,153
579,T.Rathman,SF,13,-4.80%,63,,313,6,,1991,183
580,M.Dingle,CIN,10,1.80%,21,,98,0,,1991,91
581,M.Dupree,LARM,9,-4.10%,49,,199,1,,1991,179
582,O.Anderson,NYG,9,-5.10%,53,,240,1,,1991,141
583,V.Workman,GB,8,-6.60%,70,,358,7,,1991,231
584,M.Carthon,NYG,3,-6.90%,32,,133,0,,1991,109
585,I.Woods,CIN,2,-7.50%,36,,158,4,,1991,97
586,N.McCallum,LARD,2,-7.20%,31,,116,1,,1991,110
587,E.Metcalf,CLE1,1,-7.90%,30,,96,0,,1991,107
588,K.Jones,ATL,1,-8.30%,35,,146,0,,1991,126
589,M.Green,CHI,0,-8.50%,61,,241,3,,1991,217
590,B.Foster,PIT,-1,-8.80%,96,,338,1,,1991,488
591,R.Wilson,TB,-1,-9.20%,42,,146,0,,1991,179
592,A.Craver,MIA,-3,-13.10%,20,,58,1,,1991,58
593,A.Johnson,IND,-4,-12.60%,22,,76,0,,1991,94
594,L.Hoard,CLE1,-4,-10.90%,37,,149,2,,1991,154
595,D.Fenner,SEA,-6,-10.00%,91,,346,4,,1991,267
596,H.Sydney,SF,-14,-13.80%,58,,210,5,,1991,249
597,D.Loville,SEA,-15,-25.00%,22,,53,0,,1991,69
598,S.Smith,MIA,-15,-12.60%,83,,296,1,,1991,297
599,L.Thompson,PIT,-17,-33.10%,20,,32,0,,1991,60
600,G.W.Anderson,TB,-19,-15.20%,72,,220,1,,1991,263
601,J.Rouse,CHI,-21,-26.20%,27,,70,0,,1991,74
602,C.Gardner,BUF,-28,-21.10%,42,,146,3,,1991,145
603,J.Morris,CLE1,-30,-15.80%,93,,308,2,,1991,290
604,B.Perryman,DEN,-31,-33.10%,21,,58,0,,1991,44
605,A.Rice,GB,-39,-41.00%,30,,41,0,,1991,100
606,T.Sanders,PHI,-56,-31.90%,54,,115,1,,1991,122
607,J.Stephens,NE,-57,-27.80%,64,,163,2,,1991,168
608,D.Hilliard,NO,-60,-26.50%,79,,190,4,,1991,253
609,E.Smith,DAL,416,15.50%,372,,"2,010",18,53%,1992,"1,711"
610,L.White,HOIL,341,21.10%,265,,"1,615",7,61%,1992,"1,226"
611,R.Hampton,NYG,313,18.40%,257,,"1,447",14,51%,1992,"1,141"
612,T.Thomas,BUF,275,12.80%,313,,"1,561",9,53%,1992,"1,477"
613,T.Allen,MIN,240,10.50%,266,,"1,404",13,56%,1992,"1,201"
614,R.Watters,SF,234,15.20%,206,,"1,121",9,59%,1992,"1,013"
615,D.Fenner,CIN,190,27.90%,112,,787,7,58%,1992,500
616,C.Warren,SEA,184,12.60%,223,,"1,095",3,50%,1992,"1,017"
617,B.Foster,PIT,181,3.50%,390,,"1,723",11,51%,1992,"1,690"
618,H.Green,CIN,174,7.80%,265,,"1,183",2,50%,1992,"1,170"
619,B.Baxter,NYJ,174,17.90%,152,,860,6,53%,1992,698
620,E.Byner,WAS,147,3.90%,262,,"1,133",6,52%,1992,998
621,H.Sherman,PHI,142,21.70%,112,,653,5,54%,1992,583
622,R.Cobb,TB,126,-0.80%,311,,"1,328",9,50%,1992,"1,177"
623,H.Walker,PHI,113,0.50%,267,,"1,193",8,49%,1992,"1,070"
624,J.Johnson,PHX,107,2.90%,178,,854,6,58%,1992,734
625,J.Bunch,NYG,99,14.40%,104,,572,3,55%,1992,501
626,R.Bernstine,SD,96,12.30%,106,,565,4,55%,1992,500
627,B.Sanders,DET,93,0.30%,312,,"1,244",9,43%,1992,"1,353"
628,B.Humphrey,MIA,80,9.50%,102,,488,1,48%,1992,471
629,R.Craig,MIN,77,5.20%,105,,522,4,53%,1992,418
630,G.Green,DEN,61,1.90%,161,,641,2,45%,1992,648
631,K.Mack,CLE1,56,1.80%,169,,780,6,49%,1992,543
632,E.Dickerson,LARD,55,1.30%,187,,717,2,43%,1992,729
633,B.Word,KC,51,-2.40%,163,,662,4,45%,1992,612
634,K.Davis,BUF,50,-2.00%,139,,619,6,53%,1992,613
635,C.Heyward,NO,45,0.00%,104,,509,3,55%,1992,416
636,R.Ervins,WAS,19,-6.00%,151,,586,2,48%,1992,495
637,M.Higgs,MIA,14,-7.70%,256,,"1,062",7,51%,1992,915
638,V.Workman,GB,7,-9.20%,159,,579,2,49%,1992,633
639,M.Butts,SD,1,-6.90%,219,,830,5,48%,1992,810
640,C.Okoye,KC,-1,-9.60%,144,,549,6,44%,1992,448
641,R.Culver,IND,-35,-15.70%,121,,405,7,37%,1992,321
642,N.Anderson,CHI,-41,-12.40%,156,,534,5,44%,1992,582
643,D.Hilliard,NO,-43,-16.30%,115,,366,3,43%,1992,445
644,V.Dunbar,NO,-57,-19.10%,154,,422,3,44%,1992,565
645,J.L.Williams,SEA,-64,-24.00%,114,,240,1,32%,1992,339
646,A.Johnson,IND,-87,-20.40%,178,,461,0,42%,1992,601
647,C.Gary,LARM,-88,-15.70%,279,,912,7,45%,1992,"1,127"
648,L.Russell,NE,-89,-25.30%,123,,289,2,37%,1992,398
649,J.Vaughn,NE,-111,-35.10%,113,,185,1,37%,1992,454
650,M.Allen,LARD,88,22.60%,67,,419,2,,1992,301
651,R.Harmon,SD,58,18.10%,55,,303,3,,1992,235
652,P.Chaffey,NYJ,54,49.60%,27,,168,1,,1992,186
653,R.Rivers,DEN,53,7.80%,74,,369,3,,1992,282
654,A.Lee,SF,50,0.90%,91,,405,2,,1992,362
655,T.McNair,KC,50,56.60%,21,,149,1,,1992,124
656,M.Green,CHI,45,31.70%,23,,157,2,,1992,107
657,N.Bell,LARD,41,6.80%,81,,367,3,,1992,366
658,J.Bailey,PHX,40,9.00%,52,,276,1,,1992,233
659,T.Rathman,SF,38,5.10%,57,,309,5,,1992,194
660,D.Lang,LARM,35,16.70%,33,,211,5,,1992,203
661,C.Gardner,BUF,33,12.00%,40,,207,2,,1992,166
662,D.Lewis,CHI,31,1.40%,90,,367,4,,1992,384
663,E.Bieniemy,SD,29,1.70%,74,,329,3,,1992,264
664,S.Broussard,ATL,29,-1.50%,84,,332,1,,1992,361
665,H.Sydney,GB,28,2.70%,51,,253,2,,1992,163
666,B.Thomas,NYJ,26,-3.10%,97,,363,0,,1992,440
667,Gr.Lewis,DEN,23,-3.10%,73,,343,4,,1992,267
668,E.Metcalf,CLE1,20,-3.40%,73,,251,1,,1992,301
669,B.Muster,CHI,14,-2.80%,98,,437,3,,1992,414
670,H.Williams,KC,12,-3.20%,78,,289,1,,1992,262
671,S.Lockwood,NE,10,3.50%,35,,132,0,,1992,162
672,K.Clark,IND,10,-2.00%,40,,161,0,,1992,134
673,D.Meggett,NYG,10,-1.10%,32,,134,0,,1992,169
674,K.Byars,PHI,8,-2.80%,41,,158,1,,1992,176
675,T.Vardell,CLE1,7,-9.20%,99,,346,0,,1992,369
676,L.Centers,PHX,6,-2.20%,37,,127,0,,1992,139
677,E.Pegram,ATL,6,-2.10%,21,,82,0,,1992,89
678,S.Smith,DEN,3,-4.10%,23,,86,0,,1992,94
679,J.Stephens,NE,2,-7.40%,75,,275,2,,1992,277
680,L.Thompson,PIT,-7,-9.90%,35,,113,1,,1992,156
681,S.Smith,LARD,-8,-8.50%,44,,169,0,,1992,129
682,L.Hoard,CLE1,-9,-9.90%,54,,176,0,,1992,236
683,J.Hector,NYJ,-11,-20.60%,24,,65,0,,1992,67
684,M.Hoge,PIT,-14,-11.50%,41,,157,0,,1992,150
685,K.Jones,ATL,-15,-13.00%,79,,283,0,,1992,278
686,F.McAfee,NO,-19,-18.30%,39,,116,1,,1992,114
687,I.L.Brown,PHX,-19,-15.00%,68,,237,2,,1992,194
688,F.McNeil,NYJ,-21,-20.00%,43,,124,0,,1992,170
689,G.W.Anderson,TB,-22,-22.00%,54,,130,1,,1992,196
690,E.Bennett,GB,-25,-16.70%,61,,206,0,,1992,212
691,D.Thompson,GB,-33,-19.40%,76,,225,2,,1992,255
692,C.Richards,DAL,-33,-27.90%,49,,114,1,,1992,176
693,K.Henderson,MIN,-35,-26.80%,44,,102,1,,1992,150
694,R.Mayes,SEA,-36,-39.00%,28,,38,0,,1992,74
695,T.Smith,ATL,-41,-22.50%,87,,220,2,,1992,329
696,R.Delpino,LARM,-45,-43.30%,32,,40,0,,1992,115
697,A.B.Brown,NYJ,-63,-83.60%,24,,-32,0,,1992,42
698,E.Smith,DAL,377,22.00%,283,,"1,648",9,60%,1993,"1,490"
699,J.Bettis,LARM,371,21.20%,294,,"1,702",7,60%,1993,"1,429"
700,G.Brown,HOIL,326,29.90%,195,,"1,241",6,63%,1993,"1,002"
701,R.Watters,SF,193,11.80%,208,,"1,098",10,54%,1993,950
702,L.Tillman,NYG,163,20.70%,120,,691,3,56%,1993,585
703,N.Means,SD,157,14.90%,160,,912,8,54%,1993,645
704,M.Butts,SD,151,10.00%,185,,912,4,48%,1993,746
705,E.Bennett,GB,148,11.50%,159,,928,9,53%,1993,550
706,M.Allen,KC,135,4.80%,206,,958,12,47%,1993,764
707,R.Bernstine,DEN,120,4.10%,223,,"1,064",4,52%,1993,816
708,C.Warren,SEA,111,1.80%,273,,"1,171",7,47%,1993,"1,072"
709,Ron.Moore,PHX,105,0.20%,263,,"1,167",9,48%,1993,"1,018"
710,S.Graham,MIN,103,14.00%,118,,650,3,58%,1993,488
711,Reg.Brooks,WAS,97,1.30%,223,,879,3,46%,1993,"1,065"
712,B.Foster,PIT,93,1.80%,177,,792,8,47%,1993,714
713,R.Hampton,NYG,89,-1.70%,292,,"1,207",5,48%,1993,"1,077"
714,H.Walker,PHI,89,1.90%,175,,745,1,51%,1993,738
715,R.Delpino,DEN,85,4.30%,131,,653,8,50%,1993,445
716,L.Russell,NE,82,-1.70%,300,,"1,253",7,45%,1993,"1,088"
717,T.Thomas,BUF,79,-4.10%,355,,"1,373",6,47%,1993,"1,316"
718,J.Johnson,NYJ,77,-0.10%,198,,821,3,49%,1993,821
719,B.Sanders,DET,70,0.70%,243,,933,3,44%,1993,"1,115"
720,D.Fenner,CIN,65,4.20%,121,,584,1,48%,1993,482
721,T.Worley,CHI,58,2.60%,120,,519,2,48%,1993,470
722,G.Robinson,LARD,48,-1.10%,156,,613,1,47%,1993,591
723,E.Metcalf,CLE1,42,2.50%,129,,491,1,43%,1993,611
724,H.Sherman,PHI,29,-3.50%,115,,492,2,48%,1993,408
725,D.Brown,NO,28,-2.90%,180,,691,2,44%,1993,705
726,K.Davis,BUF,18,-7.60%,109,,427,6,45%,1993,391
727,M.Higgs,MIA,17,-6.60%,185,,713,3,44%,1993,694
728,T.Vardell,CLE1,16,-4.90%,171,,699,3,49%,1993,644
729,B.Baxter,NYJ,2,-7.10%,173,,725,7,50%,1993,560
730,L.White,HOIL,-8,-8.20%,131,,502,2,49%,1993,465
731,E.Pegram,ATL,-13,-9.00%,291,,"1,061",3,47%,1993,"1,185"
732,R.Potts,IND,-20,-12.80%,179,,575,0,47%,1993,714
733,T.Kirby,MIA,-23,-13.20%,119,,389,3,39%,1993,390
734,D.Thompson,GB,-27,-10.70%,169,,571,3,43%,1993,654
735,L.Thompson,PIT,-33,-11.20%,205,,725,3,48%,1993,763
736,N.Anderson,CHI,-56,-14.20%,202,,634,4,34%,1993,652
737,B.Word,MIN,-60,-15.10%,142,,471,2,43%,1993,458
738,R.Cobb,TB,-141,-23.00%,221,,579,3,39%,1993,658
739,H.Green,CIN,-191,-29.50%,215,,448,0,35%,1993,589
740,R.Smith,MIN,121,27.30%,82,,493,2,,1993,399
741,J.L.Williams,SEA,97,20.10%,82,,479,3,,1993,371
742,M.Logan,SF,88,22.80%,58,,394,7,,1993,280
743,S.Broussard,ATL,83,38.70%,39,,276,1,,1993,206
744,C.Gary,LARM,77,16.30%,79,,401,1,,1993,293
745,D.Meggett,NYG,73,15.40%,69,,328,0,,1993,329
746,B.Mitchell,WAS,72,13.50%,63,,399,3,,1993,246
747,M.Hoge,PIT,63,23.80%,52,,266,1,,1993,253
748,T.McNair,KC,63,20.10%,51,,289,2,,1993,278
749,L.Centers,PHX,63,42.70%,25,,200,0,,1993,152
750,R.Harmon,SD,52,17.20%,46,,248,0,,1993,216
751,J.Bailey,PHX,50,17.80%,49,,295,1,,1993,253
752,De.Moore,DET,49,3.30%,88,,435,3,,1993,405
753,D.Johnston,DAL,49,19.80%,24,,215,3,,1993,74
754,L.Neal,NO,38,32.70%,21,,135,1,,1993,175
755,K.Turner,NE,34,6.10%,50,,248,0,,1993,231
756,J.Vaughn,SEA,33,13.30%,36,,187,0,,1993,153
757,B.Muster,NO,28,2.00%,64,,300,3,,1993,214
758,C.Heyward,CHI,25,-3.80%,68,,313,0,,1993,206
759,V.Workman,TB,24,-1.80%,78,,329,2,,1993,284
760,E.Lynch,DET,24,0.30%,53,,250,2,,1993,207
761,K.Byars,MIA,21,-1.20%,64,,307,3,,1993,269
762,B.Thomas,NYJ,21,-0.60%,59,,224,1,,1993,221
763,J.Bunch,NYG,20,4.60%,33,,161,2,,1993,128
764,L.Coleman,DAL,20,5.10%,34,,162,2,,1993,132
765,J.Stephens,GB,19,0.90%,54,,220,1,,1993,191
766,A.Lee,SF,16,-1.40%,72,,303,1,,1993,230
767,D.Hilliard,NO,16,1.90%,50,,213,2,,1993,165
768,M.Royster,TB,11,0.20%,33,,154,1,,1993,115
769,J.Joseph,PHI,10,-1.80%,39,,159,0,,1993,140
770,V.Hebron,PHI,10,-7.10%,84,,319,3,,1993,297
771,A.Murrell,NYJ,8,-0.10%,34,,137,1,,1993,157
772,G.Milburn,DEN,5,-7.60%,52,,169,0,,1993,230
773,K.Anders,KC,3,-7.00%,75,,242,0,,1993,291
774,S.Smith,LARD,1,-7.40%,47,,186,0,,1993,156
775,E.Dickerson,ATL,1,-7.20%,26,,92,0,,1993,91
776,E.Bieniemy,SD,1,-9.70%,33,,118,1,,1993,135
777,E.Byner,WAS,-1,-9.20%,23,,63,1,,1993,105
778,D.Lassic,DAL,-4,-10.90%,75,,262,3,,1993,269
779,N.McCallum,LARD,-6,-4.20%,37,,160,3,,1993,114
780,O.Miles,CIN,-11,-15.80%,22,,63,1,,1993,56
781,R.Craig,MIN,-12,-16.40%,38,,119,1,,1993,119
782,R.Ervins,WAS,-13,-13.10%,50,,162,0,,1993,201
783,C.Gardner,BUF,-18,-25.20%,20,,65,0,,1993,56
784,T.Montgomery,LARD,-18,-20.80%,37,,102,0,,1993,106
785,A.Johnson,IND,-22,-14.10%,95,,289,1,,1993,332
786,F.McAfee,NO,-27,-21.30%,51,,134,1,,1993,160
787,S.Gash,NE,-30,-20.70%,48,,163,1,,1993,149
788,L.Hoard,CLE1,-38,-28.30%,56,,112,0,,1993,227
789,C.Croom,NE,-39,-24.90%,60,,150,1,,1993,200
790,H.Williams,KC,-56,-44.90%,41,,44,0,,1993,146
791,G.W.Anderson,TB,-56,-55.10%,28,,13,0,,1993,56
792,N.Bell,LARD,-59,-30.80%,67,,143,1,,1993,180
793,R.Culver,IND,-67,-25.30%,65,,214,3,,1993,150
794,G.Hearst,PHX,-79,-33.90%,76,,156,1,,1993,264
795,E.Smith,DAL,461,19.40%,368,,"2,154",21,52%,1994,"1,484"
796,B.Sanders,DET,348,18.50%,331,,"1,698",7,46%,1994,"1,883"
797,C.Warren,SEA,300,12.80%,333,,"1,605",9,48%,1994,"1,545"
