,Player,Team,DYAR,DVOA,QBR,Passes,EYds,TD,INT,C%,Year
1216,R.Grossman,CHI,-10,-12.9%,,88,437,1,3,56.6%,2004
1217,D.Garrard,JAC,-28,-16.9%,,78,348,2,1,52.8%,2004
1218,D.Henson,DAL,-48,-47.5%,,20,41,1,1,55.6%,2004
1219,T.Dilfer,SEA,-52,-23.9%,,62,256,1,3,43.1%,2004
1220,D.Pederson,GB,-78,-64.6%,,23,11,0,2,47.8%,2004
1221,C.Pickett,SF,-109,-162.8%,,12,-90,0,2,40.0%,2004
1222,T.Maddox,PIT,-110,-37.7%,,67,183,1,2,51.7%,2004
1223,S.Rosenfels,MIA,-146,-68.4%,,42,6,1,3,41.0%,2004
1224,J.Blake,PHI,-147,-70.7%,,38,-1,1,1,50.0%,2004
1225,K.Detmer,PHI,-164,-71.5%,,42,-5,0,2,46.2%,2004
1226,S.King,ARI,-181,-42.4%,,92,220,1,4,56.6%,2004
1227,J.Navarre,ARI,-185,-84.6%,,41,-49,1,4,45.0%,2004
1228,C.Simms,TB,-216,-48.8%,,84,167,1,3,57.5%,2004
1229,M.Schaub,ATL,-257,-64.6%,,74,38,1,4,47.1%,2004
1230,C.Chandler,STL,-338,-88.4%,,69,-107,2,8,56.5%,2004
1231,P.Manning,IND,"1,636",41.7%,,470,"4,721",28,10,67.5%,2005
1232,C.Palmer,CIN,"1,541",33.4%,,530,"4,887",32,12,68.0%,2005
1233,T.Brady,NE,"1,405",28.6%,,555,"4,759",26,14,63.3%,2005
1234,M.Hasselbeck,SEA,"1,357",32.2%,,472,"4,366",24,9,66.1%,2005
1235,T.Green,KC,"1,269",25.9%,,541,"4,485",17,10,63.2%,2005
1236,J.Plummer,DEN,"1,186",27.1%,,477,"4,132",18,7,61.0%,2005
1237,B.Roethlisberger,PIT,885,35.8%,,292,"2,723",17,9,62.7%,2005
1238,D.Brees,SD,883,15.2%,,526,"3,902",24,14,65.3%,2005
1239,E.Manning,NYG,632,6.0%,,585,"3,840",24,17,52.9%,2005
1240,B.Favre,GB,606,3.6%,,630,"4,122",20,25,61.6%,2005
1241,J.Delhomme,CAR,600,8.7%,,463,"3,251",24,16,60.2%,2005
1242,S.McNair,TEN,585,7.1%,,494,"3,410",16,11,62.4%,2005
1243,B.Leftwich,JAC,583,18.1%,,324,"2,389",15,5,58.5%,2005
1244,D.McNabb,PHI,564,11.9%,,378,"2,737",16,9,59.4%,2005
1245,M.Brunell,WAS,520,5.7%,,483,"3,202",23,10,58.3%,2005
1246,M.Bulger,STL,497,14.1%,,314,"2,243",14,9,66.8%,2005
1247,K.Warner,ARI,480,8.2%,,399,"2,653",11,9,65.2%,2005
1248,D.Bledsoe,DAL,479,3.0%,,547,"3,377",23,15,61.1%,2005
1249,B.Johnson,MIN,441,11.8%,,313,"2,153",12,4,63.5%,2005
1250,K.Collins,OAK,380,-1.1%,,607,"3,576",20,11,53.7%,2005
1251,D.Garrard,JAC,278,12.9%,,177,"1,308",4,1,58.6%,2005
1252,C.Simms,TB,146,-4.3%,,340,"1,914",10,6,62.0%,2005
1253,J.Martin,STL,143,1.2%,,188,"1,131",5,7,70.5%,2005
1254,A.Brooks,NO,141,-6.2%,,461,"2,488",13,16,56.7%,2005
1255,T.Dilfer,CLE,91,-7.3%,,358,"2,013",11,11,60.1%,2005
1256,J.McCown,ARI,85,-6.6%,,291,"1,610",9,10,61.6%,2005
1257,G.Frerotte,MIA,76,-8.8%,,519,"2,765",18,13,52.6%,2005
1258,M.Vick,ATL,36,-9.8%,,422,"2,218",15,13,55.4%,2005
1259,K.Boller,BAL,35,-9.3%,,314,"1,578",11,11,59.2%,2005
1260,J.Garcia,DET,-17,-12.6%,,180,919,3,6,59.3%,2005
1261,B.Griese,TB,-18,-12.7%,,185,908,7,7,64.7%,2005
1262,A.Wright,BAL,-71,-15.3%,,282,"1,276",6,8,62.8%,2005
1263,R.Fitzpatrick,STL,-78,-19.5%,,146,637,4,7,56.3%,2005
1264,J.Harrington,DET,-93,-15.2%,,355,"1,718",12,11,57.4%,2005
1265,K.Holcomb,BUF,-114,-18.0%,,252,"1,193",10,8,68.0%,2005
1266,C.Frye,CLE,-119,-21.4%,,185,781,4,5,60.5%,2005
1267,T.Rattay,SF,-131,-30.1%,,107,377,5,6,58.3%,2005
1268,V.Testaverde,NYJ,-169,-33.0%,,121,396,1,6,56.6%,2005
1269,D.Culpepper,MIN,-210,-24.8%,,249,962,6,12,64.7%,2005
1270,T.Bouman,NO,-219,-36.2%,,130,404,2,6,55.7%,2005
1271,B.Bollinger,NYJ,-279,-25.5%,,301,"1,186",7,6,57.0%,2005
1272,M.McMahon,PHI,-324,-33.6%,,227,718,5,8,45.9%,2005
1273,J.P.Losman,BUF,-451,-41.5%,,249,587,8,8,50.9%,2005
1274,D.Carr,HOU,-565,-29.2%,,491,"1,744",14,11,61.4%,2005
1275,K.Orton,CHI,-585,-33.5%,,402,"1,313",9,13,51.9%,2005
1276,A.Smith,SF,-866,-88.6%,,194,-275,1,11,51.2%,2005
1277,J.Sorgi,IND,139,22.2%,,64,523,3,1,68.9%,2005
1278,M.Schaub,ATL,103,12.7%,,69,498,4,0,52.4%,2005
1279,C.Batch,PIT,94,26.8%,,36,326,1,1,65.7%,2005
1280,J.Fiedler,NYJ,48,46.3%,,14,134,1,0,61.5%,2005
1281,P.Ramsey,WAS,34,10.0%,,29,188,1,1,60.0%,2005
1282,S.Rosenfels,MIA,32,-3.0%,,61,363,4,3,57.6%,2005
1283,Q.Gray,JAC,31,26.9%,,15,108,2,0,57.1%,2005
1284,C.Weinke,CAR,30,24.1%,,13,109,1,0,53.8%,2005
1285,M.Cassel,NE,17,-1.3%,,25,158,2,1,56.5%,2005
1286,R.Grossman,CHI,16,-4.7%,,40,218,1,2,51.3%,2005
1287,D.Flutie,NE,-12,-32.0%,,11,30,0,0,50.0%,2005
1288,D.Orlovsky,DET,-27,-35.9%,,18,51,0,0,41.2%,2005
1289,M.Mauck,TEN,-34,-30.9%,,28,92,0,1,55.6%,2005
1290,J.Navarre,ARI,-43,-37.6%,,28,72,1,1,58.3%,2005
1291,M.Tuiasosopo,OAK,-43,-33.3%,,32,98,1,1,53.8%,2005
1292,S.Wallace,SEA,-48,-38.3%,,30,77,1,1,52.0%,2005
1293,T.Banks,HOU,-48,-39.1%,,25,73,1,2,56.0%,2005
1294,P.Rivers,SD,-68,-52.7%,,25,39,0,1,54.5%,2005
1295,C.Pennington,NYJ,-98,-28.1%,,94,335,2,3,59.0%,2005
1296,K.Dorsey,SF,-101,-28.7%,,95,324,2,2,53.9%,2005
1297,T.Maddox,PIT,-105,-32.8%,,80,261,2,4,47.9%,2005
1298,B.Volek,TEN,-115,-29.6%,,97,346,4,2,57.5%,2005
1299,J.Kitna,CIN,-129,-76.1%,,31,-16,0,2,58.6%,2005
1300,A.Rodgers,GB,-132,-116.7%,,19,-79,0,1,56.3%,2005
1301,C.Pickett,SF,-166,-96.8%,,39,-52,0,2,40.0%,2005
1302,K.Detmer,PHI,-204,-69.5%,,59,4,0,3,57.1%,2005
1303,P.Manning,IND,"2,317",51.3%,,567,"6,144",31,9,65.5%,2006
1304,D.Brees,NO,"1,409",25.6%,,572,"5,002",26,11,64.7%,2006
1305,C.Palmer,CIN,"1,187",21.6%,,554,"4,531",28,12,62.8%,2006
1306,M.Bulger,STL,"1,145",16.7%,,631,"4,874",24,7,63.9%,2006
1307,T.Brady,NE,999,17.0%,,544,"4,222",24,12,62.2%,2006
1308,P.Rivers,SD,891,17.4%,,490,"3,724",22,9,62.4%,2006
1309,C.Pennington,NYJ,739,10.1%,,516,"3,810",17,15,65.8%,2006
1310,T.Romo,DAL,696,18.9%,,360,"2,810",19,13,65.3%,2006
1311,D.McNabb,PHI,656,18.6%,,337,"2,671",18,5,57.5%,2006
1312,B.Roethlisberger,PIT,623,8.2%,,514,"3,443",18,21,60.6%,2006
1313,S.McNair,BAL,622,9.2%,,478,"3,302",16,12,64.3%,2006
1314,D.Huard,KC,583,24.3%,,262,"2,119",11,1,60.9%,2006
1315,E.Manning,NYG,529,4.1%,,544,"3,513",24,17,58.2%,2006
1316,J.Kitna,DET,440,-0.6%,,657,"3,982",21,21,62.7%,2006
1317,B.Favre,GB,394,-1.5%,,632,"3,824",18,18,56.1%,2006
1318,M.Brunell,WAS,373,10.8%,,276,"1,877",8,4,63.2%,2006
1319,J.Garcia,PHI,364,17.7%,,195,"1,510",10,2,61.7%,2006
1320,J.Delhomme,CAR,300,-1.0%,,453,"2,782",17,11,61.3%,2006
1321,M.Leinart,ARI,277,0.0%,,397,"2,374",11,11,58.1%,2006
1322,T.Rattay,TB,205,17.5%,,108,854,4,2,61.2%,2006
1323,J.Campbell,WAS,135,-1.1%,,214,"1,263",10,6,53.4%,2006
1324,T.Green,KC,116,-2.9%,,222,"1,294",7,9,61.1%,2006
1325,V.Young,TEN,114,-6.3%,,379,"2,032",13,12,52.5%,2006
1326,D.Garrard,JAC,111,-4.6%,,261,"1,519",10,9,60.2%,2006
1327,D.Carr,HOU,92,-8.2%,,484,"2,677",11,12,68.9%,2006
1328,K.Warner,ARI,76,-4.5%,,184,"1,025",6,5,64.7%,2006
1329,J.Plummer,DEN,67,-8.1%,,335,"1,845",11,13,55.4%,2006
1330,J.P.Losman,BUF,65,-9.0%,,478,"2,543",19,13,62.9%,2006
1331,R.Grossman,CHI,44,-9.8%,,503,"2,706",23,20,54.7%,2006
1332,M.Hasselbeck,SEA,15,-10.6%,,402,"2,045",18,15,57.1%,2006
1333,B.Leftwich,JAC,13,-10.1%,,193,"1,020",7,5,59.0%,2006
1334,D.Bledsoe,DAL,0,-11.1%,,185,922,7,8,53.9%,2006
1335,J.Cutler,DEN,-15,-12.7%,,151,779,9,5,59.1%,2006
1336,D.Anderson,CLE,-94,-22.8%,,124,517,5,8,56.9%,2006
1337,J.Harrington,MIA,-97,-14.9%,,401,"1,965",12,15,58.1%,2006
1338,C.Weinke,CAR,-100,-25.7%,,106,417,2,4,58.3%,2006
1339,D.Culpepper,MIA,-111,-23.3%,,154,582,2,3,60.9%,2006
1340,A.Smith,SF,-147,-16.0%,,477,"2,233",16,16,59.0%,2006
1341,C.Simms,TB,-150,-31.9%,,109,377,1,7,55.2%,2006
1342,S.Wallace,SEA,-163,-28.1%,,156,551,8,7,58.2%,2006
1343,B.Johnson,MIN,-211,-18.1%,,466,"2,147",9,15,62.6%,2006
1344,C.Frye,CLE,-222,-18.9%,,436,"1,998",10,15,64.7%,2006
1345,M.Vick,ATL,-260,-20.4%,,433,"1,909",20,11,52.7%,2006
1346,A.Brooks,OAK,-365,-37.8%,,219,611,3,7,57.9%,2006
1347,B.Gradkowski,TB,-452,-31.5%,,352,"1,169",9,9,54.5%,2006
1348,A.Walter,OAK,-669,-46.2%,,326,631,3,11,53.5%,2006
1349,C.Batch,PIT,276,64.1%,,56,670,5,0,58.5%,2006
1350,S.Rosenfels,HOU,159,47.9%,,40,433,3,1,69.2%,2006
1351,A.J.Feeley,PHI,154,51.5%,,39,410,3,0,70.3%,2006
1352,K.Boller,BAL,118,19.9%,,60,466,5,2,60.0%,2006
1353,M.Schaub,ATL,95,47.3%,,29,263,1,1,66.7%,2006
1354,C.Lemon,MIA,73,4.9%,,70,467,2,1,58.5%,2006
1355,Q.Gray,JAC,51,27.1%,,23,175,0,0,59.1%,2006
1356,B.Bollinger,MIN,28,8.0%,,24,155,0,0,72.2%,2006
1357,B.Basanez,CAR,24,23.3%,,11,89,0,0,54.5%,2006
1358,M.Cassel,NE,-53,-91.9%,,11,-19,0,0,62.5%,2006
1359,A.Rodgers,GB,-54,-59.3%,,18,17,0,0,40.0%,2006
1360,M.Tuiasosopo,OAK,-82,-100.2%,,13,-37,1,2,46.2%,2006
1361,J.Martin,NO,-82,-56.9%,,29,33,1,1,66.7%,2006
1362,B.Griese,CHI,-88,-54.4%,,35,44,1,2,56.3%,2006
1363,K.Collins,TEN,-208,-46.3%,,94,193,1,6,47.2%,2006
1364,T.Jackson,MIN,-237,-52.7%,,88,137,2,4,58.8%,2006
1365,T.Brady,NE,"2,674",54.1%,,599,"6,946",50,8,69.0%,2007
1366,P.Manning,IND,"1,721",37.1%,,537,"5,216",31,13,65.5%,2007
1367,B.Favre,GB,"1,311",24.5%,,549,"4,743",28,14,66.9%,2007
1368,T.Romo,DAL,"1,191",22.5%,,546,"4,467",36,19,64.6%,2007
1369,D.Brees,NO,"1,159",14.2%,,669,"5,264",28,17,68.2%,2007
1370,C.Palmer,CIN,"1,095",17.0%,,591,"4,617",26,19,65.4%,2007
1371,D.Garrard,JAC,"1,019",34.3%,,345,"3,191",18,3,64.4%,2007
1372,J.Cutler,DEN,865,16.0%,,495,"3,747",20,14,64.0%,2007
1373,M.Hasselbeck,SEA,842,10.3%,,595,"4,324",28,12,63.1%,2007
1374,D.Anderson,CLE,676,8.7%,,534,"3,660",29,19,57.8%,2007
1375,B.Roethlisberger,PIT,668,12.7%,,450,"3,146",32,11,66.0%,2007
1376,J.Garcia,TB,648,17.4%,,346,"2,711",13,4,65.3%,2007
1377,K.Warner,ARI,606,8.3%,,472,"3,336",27,16,63.1%,2007
1378,D.McNabb,PHI,554,5.1%,,515,"3,495",19,7,61.9%,2007
1379,S.Rosenfels,HOU,550,21.4%,,246,"2,110",15,12,64.4%,2007
1380,P.Rivers,SD,441,3.3%,,486,"3,056",21,15,60.3%,2007
1381,J.Campbell,WAS,323,0.4%,,436,"2,693",12,11,60.9%,2007
1382,M.Schaub,HOU,319,5.1%,,301,"2,023",9,9,67.8%,2007
1383,T.Collins,WAS,285,28.0%,,113,975,5,0,64.4%,2007
1384,Q.Gray,JAC,267,17.3%,,154,"1,118",10,4,55.6%,2007
1385,J.Kitna,DET,262,-4.5%,,612,"3,539",18,20,63.5%,2007
1386,T.Green,MIA,148,4.9%,,146,946,5,7,62.0%,2007
1387,C.Redman,ATL,113,0.2%,,159,954,10,5,60.7%,2007
1388,C.Pennington,NYJ,83,-6.7%,,284,"1,627",10,9,69.4%,2007
1389,T.Jackson,MIN,45,-8.9%,,307,"1,660",9,12,59.9%,2007
1390,J.Harrington,ATL,41,-9.4%,,380,"1,932",7,7,61.8%,2007
1391,M.Leinart,ARI,35,-6.3%,,116,640,2,3,53.6%,2007
1392,D.Culpepper,OAK,33,-8.5%,,209,"1,055",5,5,58.7%,2007
1393,M.Moore,CAR,32,-7.1%,,118,684,3,4,56.8%,2007
1394,T.Edwards,BUF,3,-11.0%,,280,"1,417",7,8,56.8%,2007
1395,J.P.Losman,BUF,-18,-12.7%,,188,908,4,6,63.8%,2007
1396,V.Young,TEN,-30,-12.3%,,409,"2,137",9,17,62.6%,2007
1397,A.J.Feeley,PHI,-56,-19.1%,,106,490,5,8,57.3%,2007
1398,L.McCown,TB,-58,-17.0%,,153,726,5,3,68.6%,2007
1399,K.Boller,BAL,-81,-15.3%,,295,"1,452",9,10,62.0%,2007
1400,D.Huard,KC,-123,-16.6%,,367,"1,647",11,13,62.2%,2007
1401,B.Griese,CHI,-124,-18.3%,,275,"1,218",9,12,62.6%,2007
1402,B.Croyle,KC,-160,-21.6%,,240,"1,011",6,6,57.2%,2007
1403,C.Lemon,MIA,-163,-18.9%,,334,"1,457",6,6,56.5%,2007
1404,E.Manning,NYG,-190,-16.4%,,557,"2,681",23,19,56.5%,2007
1405,K.Clemens,NYJ,-200,-22.6%,,274,"1,132",5,9,52.8%,2007
1406,D.Carr,CAR,-204,-32.6%,,150,489,3,5,53.7%,2007
1407,G.Frerotte,STL,-216,-29.7%,,177,641,7,12,56.6%,2007
1408,M.Bulger,STL,-224,-19.7%,,414,"1,810",11,13,58.9%,2007
1409,R.Grossman,CHI,-235,-26.0%,,249,952,4,7,55.6%,2007
1410,S.McNair,BAL,-242,-28.1%,,216,818,2,4,66.0%,2007
1411,V.Testaverde,CAR,-254,-31.8%,,181,641,5,6,55.0%,2007
1412,J.McCown,OAK,-289,-32.9%,,207,678,10,10,58.6%,2007
1413,J.Beck,MIA,-327,-54.9%,,118,157,1,3,57.5%,2007
1414,A.Smith,SF,-552,-52.8%,,208,316,2,4,49.5%,2007
1415,T.Dilfer,SF,-681,-55.4%,,244,312,7,11,52.6%,2007
1416,J.Delhomme,CAR,150,13.2%,,91,700,8,1,65.1%,2007
1417,K.Collins,TEN,133,12.7%,,87,632,0,0,61.0%,2007
1418,S.Hill,SF,84,3.1%,,84,590,5,1,70.1%,2007
1419,A.Rodgers,GB,78,28.7%,,30,265,1,0,74.1%,2007
1420,T.Smith,BAL,65,1.4%,,80,509,2,0,53.3%,2007
1421,C.Batch,PIT,17,-4.1%,,36,220,2,3,48.6%,2007
1422,B.Bollinger,MIN,16,-6.8%,,57,311,1,1,67.3%,2007
1423,J.Sorgi,IND,13,-5.2%,,38,197,1,0,50.0%,2007
1424,T.Rattay,ARI,-4,-13.3%,,28,151,3,2,55.6%,2007
1425,B.Johnson,DAL,-4,-17.0%,,12,54,0,0,63.6%,2007
1426,S.Wallace,SEA,-12,-16.9%,,31,153,2,1,67.9%,2007
1427,J.T.O'Sullivan,DET,-24,-25.0%,,30,107,1,2,50.0%,2007
1428,B.Berlin,STL,-25,-26.1%,,28,100,0,1,60.7%,2007
1429,B.Gradkowski,TB,-36,-33.7%,,25,79,0,1,59.1%,2007
1430,C.Nall,GB,-45,-49.1%,,18,34,1,0,46.7%,2007
1431,K.Holcomb,MIN,-50,-20.1%,,94,381,2,1,52.5%,2007
1432,P.Ramsey,DEN,-54,-27.5%,,50,193,1,1,61.7%,2007
1433,C.Weinke,SF,-74,-52.8%,,27,42,1,0,59.1%,2007
1434,K.Orton,CHI,-89,-28.3%,,83,296,3,2,54.4%,2007
1435,C.Frye,CLE,-108,-126.3%,,15,-71,0,1,40.0%,2007
1436,B.Volek,SD,-126,-172.5%,,12,-108,0,1,30.0%,2007
1437,J.Russell,OAK,-163,-46.9%,,74,145,2,4,55.4%,2007
1438,B.Leftwich,ATL,-227,-68.1%,,64,12,1,2,55.2%,2007
1439,D.Brees,NO,"1,694",28.6%,64.4,645,"5,738",34,16,65.8%,2008
1440,P.Manning,IND,"1,554",30.0%,79.8,567,"5,155",27,11,67.1%,2008
1441,P.Rivers,SD,"1,347",30.3%,68.1,503,"4,453",34,11,65.5%,2008
1442,J.Cutler,DEN,"1,172",17.0%,72.3,626,"4,956",25,18,62.9%,2008
1443,K.Warner,ARI,"1,160",16.5%,69.8,625,"4,954",30,12,67.8%,2008
1444,C.Pennington,MIA,"1,030",21.1%,74.6,502,"3,975",19,7,67.7%,2008
1445,M.Ryan,ATL,"1,012",25.3%,74.1,451,"3,609",16,11,61.3%,2008
1446,E.Manning,NYG,840,14.0%,62.6,505,"3,838",21,9,60.6%,2008
1447,D.McNabb,PHI,817,9.7%,51.6,590,"4,273",23,11,61.2%,2008
1448,M.Schaub,HOU,767,18.0%,68.0,400,"3,163",15,10,67.5%,2008
1449,T.Romo,DAL,713,12.9%,48.4,473,"3,354",26,14,61.9%,2008
1450,A.Rodgers,GB,708,8.5%,66.9,569,"3,859",28,13,64.5%,2008
1451,J.Delhomme,CAR,696,13.2%,62.6,436,"3,249",15,12,59.8%,2008
1452,K.Collins,TEN,585,9.8%,57.9,426,"3,044",12,7,58.6%,2008
1453,D.Garrard,JAC,567,4.1%,53.1,575,"3,764",15,11,63.0%,2008
1454,J.Garcia,TB,467,6.9%,66.0,396,"2,721",12,6,66.0%,2008
1455,J.Campbell,WAS,462,2.6%,56.4,541,"3,346",13,5,62.6%,2008
1456,M.Cassel,NE,458,1.1%,63.2,564,"3,654",21,11,63.9%,2008
1457,J.Flacco,BAL,232,-3.0%,43.2,461,"2,606",14,11,60.4%,2008
1458,S.Wallace,SEA,203,1.6%,55.3,255,"1,561",11,3,58.8%,2008
1459,T.Jackson,MIN,166,4.8%,42.5,161,"1,062",9,2,59.9%,2008
1460,K.Orton,CHI,161,-6.2%,45.5,491,"2,836",18,12,58.9%,2008
1461,T.Edwards,BUF,137,-5.8%,51.9,397,"2,254",11,10,65.9%,2008
1462,S.Rosenfels,HOU,131,-0.7%,60.6,184,"1,195",6,10,67.8%,2008
1463,D.Orlovsky,DET,110,-4.8%,48.0,270,"1,544",8,7,56.5%,2008
1464,B.Roethlisberger,PIT,97,-8.1%,46.8,516,"2,734",17,13,60.7%,2008
1465,B.Favre,NYJ,95,-8.6%,44.4,550,"3,136",22,21,66.3%,2008
1466,S.Hill,SF,65,-8.0%,59.1,310,"1,740",13,8,63.7%,2008
1467,T.Thigpen,KC,35,-9.9%,47.7,442,"2,418",18,11,55.3%,2008
1468,C.Palmer,CIN,-6,-11.8%,48.6,141,717,3,4,60.0%,2008
1469,B.Griese,TB,-79,-17.7%,40.2,192,868,5,7,60.4%,2008
1470,G.Frerotte,MIN,-112,-16.4%,42.3,331,"1,555",12,15,59.3%,2008
1471,J.Kitna,DET,-120,-25.0%,11.0,135,530,5,5,57.1%,2008
1472,D.Anderson,CLE,-123,-17.5%,30.4,300,"1,379",9,8,50.2%,2008
1473,D.Culpepper,DET,-226,-39.4%,18.1,128,334,4,6,53.5%,2008
1474,J.Russell,OAK,-265,-21.6%,35.3,400,"1,678",13,8,54.3%,2008
1475,R.Fitzpatrick,CIN,-315,-22.9%,38.1,408,"1,736",8,8,59.7%,2008
1476,J.P.Losman,BUF,-357,-62.3%,21.9,116,78,2,4,63.0%,2008
1477,M.Hasselbeck,SEA,-402,-38.9%,30.9,228,619,5,10,52.4%,2008
1478,M.Bulger,STL,-406,-24.7%,32.7,482,"1,867",11,12,57.3%,2008
1479,J.T.O'Sullivan,SF,-509,-43.4%,22.9,252,578,8,11,58.4%,2008
1480,B.Leftwich,PIT,160,59.3%,96.7,38,400,2,0,60.0%,2008
1481,D.Carr,NYG,121,130.2%,95.5,13,233,2,0,75.0%,2008
1482,J.Sorgi,IND,98,33.7%,73.2,30,309,0,0,73.3%,2008
1483,T.Brady,NE,11,1.9%,69.6,11,80,0,0,63.6%,2008
1484,B.Croyle,KC,9,-6.5%,37.3,30,169,0,0,69.0%,2008
1485,C.Henne,MIA,5,-6.1%,87.3,12,78,0,0,58.3%,2008
1486,D.Stanton,DET,-29,-33.4%,28.6,23,67,1,0,52.9%,2008
1487,M.Leinart,ARI,-39,-30.5%,54.2,31,109,1,1,51.7%,2008
1488,B.Bollinger,DAL,-60,-62.5%,21.3,20,12,1,1,58.8%,2008
1489,C.Frye,SEA,-65,-50.8%,9.8,26,44,2,2,52.2%,2008
1490,J.Palmer,CIN,-79,-95.0%,0.4,14,-32,0,1,58.3%,2008
1491,R.Grossman,CHI,-86,-31.9%,18.6,65,217,2,2,52.4%,2008
1492,B.Quinn,CLE,-101,-28.8%,43.2,90,322,2,2,50.6%,2008
1493,K.Kolb,PHI,-154,-82.6%,1.0,34,-36,0,4,50.0%,2008
1494,V.Young,TEN,-164,-75.2%,10.6,39,-17,1,2,61.1%,2008
1495,A.Walter,OAK,-227,-82.3%,1.9,53,-52,0,3,45.8%,2008
1496,B.Johnson,DAL,-231,-55.3%,14.9,87,106,2,5,52.6%,2008
1497,T.Green,STL,-233,-58.8%,12.2,78,76,0,6,52.8%,2008
1498,B.Gradkowski,CLE,-241,-197.7%,0.5,25,-224,0,3,33.3%,2008
1499,D.Huard,KC,-252,-59.3%,28.0,90,79,2,4,62.5%,2008
1500,K.Dorsey,CLE,-284,-60.0%,5.3,98,82,0,6,47.3%,2008
1501,T.Brady,NE,"2,021",40.4%,65.1,581,"5,910",28,13,65.7%,2009
1502,P.Rivers,SD,"1,776",41.7%,74.7,510,"5,121",28,9,65.6%,2009
1503,P.Manning,IND,"1,771",34.0%,82.9,581,"5,560",33,16,68.8%,2009
1504,D.Brees,NO,"1,692",36.7%,79.7,533,"5,168",34,11,70.9%,2009
1505,B.Favre,MIN,"1,646",34.5%,66.4,564,"5,139",33,7,69.0%,2009
1506,M.Schaub,HOU,"1,624",29.3%,70.3,606,"5,442",29,15,68.6%,2009
1507,T.Romo,DAL,"1,432",28.0%,62.9,585,"4,896",26,9,63.6%,2009
1508,B.Roethlisberger,PIT,"1,227",23.2%,67.3,557,"4,544",26,11,66.7%,2009
1509,A.Rodgers,GB,"1,105",17.8%,70.2,589,"4,591",30,7,65.3%,2009
1510,E.Manning,NYG,975,17.3%,69.8,538,"4,075",27,13,62.5%,2009
1511,K.Warner,ARI,907,14.5%,67.3,531,"4,080",27,12,67.2%,2009
1512,K.Orton,DEN,711,8.4%,53.2,571,"3,889",21,11,62.4%,2009
1513,M.Ryan,ATL,702,12.4%,56.6,465,"3,347",22,13,59.1%,2009
1514,J.Flacco,BAL,667,8.4%,55.0,536,"3,663",21,11,63.6%,2009
1515,C.Palmer,CIN,583,7.8%,53.1,492,"3,270",21,11,61.3%,2009
1516,D.McNabb,PHI,485,4.5%,60.0,479,"3,137",22,9,60.5%,2009
1517,C.Henne,MIA,449,3.4%,51.3,476,"3,095",12,13,61.2%,2009
1518,V.Young,TEN,427,13.9%,70.3,270,"1,945",10,7,59.1%,2009
1519,M.Moore,CAR,262,17.0%,59.2,148,"1,095",8,2,61.6%,2009
1520,D.Garrard,JAC,249,-4.1%,52.6,557,"3,194",15,10,61.4%,2009
1521,C.Redman,ATL,196,14.0%,49.3,125,896,4,3,59.0%,2009
1522,J.Campbell,WAS,181,-6.1%,47.7,551,"3,128",20,14,65.1%,2009
1523,K.Kolb,PHI,152,11.8%,49.5,100,740,4,2,64.6%,2009
1524,B.Leftwich,TB,89,1.4%,30.1,112,680,4,3,54.6%,2009
1525,B.Gradkowski,OAK,63,-5.0%,51.1,160,923,6,3,55.8%,2009
1526,S.Wallace,SEA,-17,-13.3%,34.3,131,635,3,2,65.5%,2009
1527,D.Culpepper,DET,-93,-19.7%,33.5,172,746,3,6,57.8%,2009
1528,K.Collins,TEN,-139,-21.0%,33.2,224,948,6,8,55.1%,2009
1529,M.Bulger,STL,-203,-23.2%,32.1,261,"1,079",5,6,57.1%,2009
1530,B.Quinn,CLE,-207,-22.8%,33.4,275,"1,155",8,6,53.1%,2009
1531,A.Smith,SF,-210,-19.5%,40.2,394,"1,724",18,12,60.8%,2009
1532,T.Edwards,BUF,-229,-29.6%,28.3,206,688,6,6,60.4%,2009
1533,R.Fitzpatrick,BUF,-238,-26.6%,29.0,248,914,9,9,56.2%,2009
1534,J.Delhomme,CAR,-260,-23.1%,31.1,340,"1,392",8,18,56.3%,2009
1535,S.Hill,SF,-261,-36.3%,42.6,173,483,5,2,56.9%,2009
1536,J.Johnson,TB,-265,-43.2%,13.7,137,295,4,7,50.4%,2009
1537,K.Boller,STL,-352,-39.4%,11.1,192,525,3,6,56.0%,2009
1538,M.Sanchez,NYJ,-382,-26.5%,31.6,390,"1,477",13,20,54.6%,2009
1539,J.Cutler,CHI,-390,-21.4%,48.2,589,"2,537",27,26,61.3%,2009
1540,J.Freeman,TB,-392,-31.1%,26.1,311,"1,050",10,17,55.2%,2009
1541,D.Anderson,CLE,-399,-43.6%,16.6,193,445,3,10,44.8%,2009
1542,K.Null,STL,-439,-63.7%,13.1,136,77,3,8,62.0%,2009
1543,M.Hasselbeck,SEA,-468,-24.8%,26.4,523,"2,118",17,16,60.2%,2009
1544,M.Cassel,KC,-619,-29.3%,30.9,541,"1,905",16,15,55.9%,2009
1545,M.Stafford,DET,-653,-36.6%,30.0,394,"1,178",13,20,54.5%,2009
1546,J.Russell,OAK,-834,-62.0%,11.7,278,187,3,10,49.0%,2009
1547,T.Jackson,MIN,105,75.6%,71.3,21,241,1,0,66.7%,2009
1548,D.Carr,NYG,83,30.2%,69.7,34,273,1,0,65.6%,2009
1549,B.Croyle,KC,68,15.8%,48.9,43,308,2,0,57.5%,2009
